scene_name,category,count,positions
fxbzYAGkrtm,chair,20,"[4.38735, -2.80243, -0.33987]; [-6.6681, 0.39216, 2.89719]; [-1.63541, -2.67292, 6.39503]; [-3.5399, -2.6751, 6.47472]; [-2.78779, -2.68672, 6.09383]; [-2.20064, -2.66934, 6.73495]; [-2.30356, -2.68706, 6.10705]; [-2.84147, -2.66114, 6.85372]; [1.53366, -3.01062, 10.87459]; [1.94533, -3.01373, 10.88139]; [1.58835, -2.8469, 7.92877]; [1.65565, -2.83061, 7.02404]; [1.61453, -2.8329, 6.06416]; [-4.97945, 0.49736, 5.60392]; [-6.42089, 0.62007, 7.99009]; [-6.92662, 0.71306, 8.07837]; [-1.06858, 0.4425, 12.46667]; [-2.97992, 0.23233, 10.80328]; [3.55602, 0.5164, 2.30031]; [4.49236, 0.42098, 5.40953]"
fxbzYAGkrtm,bed,4,"[-9.8457, 0.50733, 4.06686]; [-4.45306, 0.61355, 10.80102]; [3.92627, 0.51523, 0.23924]; [3.91528, 0.14946, 7.31558]"
fxbzYAGkrtm,plant,1,"[-1.44155, -2.29841, 2.2021]"
fxbzYAGkrtm,toilet,3,"[3.18764, -2.8785, 3.34716]; [-10.08567, 0.24591, 7.72836]; [3.83711, 0.38912, 3.53478]"
fxbzYAGkrtm,tv_monitor,3,"[-10.16161, 0.87212, 6.45981]; [-0.8217, 0.82129, 9.61256]; [1.0338, 0.84586, -0.08109]"
fxbzYAGkrtm,sofa,2,"[-4.91974, 0.39535, 2.36899]; [-0.49896, -2.86871, 10.81579]"
gQ3xxshDiCz,chair,10,"[-1.0676, 3.22888, 0.51855]; [-0.84355, -1.85679, -1.00626]; [-0.7635, -1.86424, -1.72114]; [-6.68775, -2.09612, -3.3904]; [-6.05597, -2.11217, -3.41178]; [0.42889, 0.01963, -5.58013]; [0.2559, 0.51576, -4.23524]; [-5.09392, 0.37148, -6.0861]; [-4.35261, 0.3849, -6.10336]; [-6.94368, 0.34423, -0.06449]"
gQ3xxshDiCz,bed,2,"[-0.43592, 3.47834, -3.27998]; [0.17841, 0.84482, 0.2437]"
gQ3xxshDiCz,plant,8,"[-0.92929, 3.74371, -1.48436]; [-2.80067, 3.62941, -0.18872]; [-7.15107, 3.54164, -1.86471]; [0.82733, 1.16086, -3.13733]; [-5.59811, 1.02778, -6.21735]; [-5.29043, 2.099, -6.20379]; [-6.80839, 1.46889, -2.71822]; [-3.37861, 0.98057, -1.73993]"
gQ3xxshDiCz,toilet,1,"[-2.33501, 0.4077, -4.83101]"
gQ3xxshDiCz,tv_monitor,2,"[-1.16795, 4.13763, -1.40873]; [0.65954, 0.9607, -6.12514]"
gQ3xxshDiCz,sofa,1,"[-6.11351, 0.3556, -2.29066]"
NEVASPhcrxR,chair,17,"[0.75564, 0.39667, 6.86873]; [-5.52865, 0.39405, 7.15669]; [-11.52475, 0.35352, 7.73007]; [-8.88298, 0.39962, 7.13613]; [-2.19587, 0.79031, -10.40601]; [-5.94445, 0.56126, -13.26154]; [-5.1444, 3.53524, -1.69367]; [-5.91734, 3.53732, -1.67513]; [-6.00591, 3.58392, -0.15786]; [-7.12939, 3.54322, -0.15985]; [-6.03293, 3.67289, 0.28173]; [-7.1444, 3.68919, 0.34024]; [-7.16438, 3.07569, 1.69678]; [-0.73429, 3.53655, 3.9947]; [5.85177, 3.49742, -0.39475]; [3.6856, 3.49722, 0.35143]; [4.65085, 3.42323, 3.60285]"
